task_id,mu,sigma
hidden_cheese_1,0.0,0.5704109912501667
hidden_cheese_2,7.2433967157504435,0.9250996568137642
hidden_cheese_3,8.189209883264503,2.2076971428003547
hidden_cheese_4,8.038151849181645,0.952714336220505
hidden_cheese_5,9.354961187818398,1.5370505779158699
hidden_cheese_6,7.769514195820987,0.8469270026996424
hidden_rainy_weather_1,8.678412654145044,1.6635504537863968
hidden_rainy_weather_2,6.952734880532027,0.8693687495001889
hidden_rainy_weather_3,2.9295003611625425,0.4530111538286584
hidden_rainy_weather_4,7.987047769823743,3.7008814309036415
hidden_rainy_weather_5,8.451563260952422,1.0375480719173125
hidden_rainy_weather_6,8.91514357759808,2.403702658656817
hidden_cats_1,8.94372197857421,0.253231119290138
hidden_cats_2,8.613178810093812,1.1676363480106813
hidden_cats_3,3.617855586983852,0.5290726181627705
hidden_cats_4,9.469973027273685,2.5591757900071745
hidden_cats_5,8.766445295080775,0.316638997762804
hidden_cats_6,9.765684257720341,0.24836864945542186
hidden_classical_music_1,5.27802820328167,0.487996890308535
hidden_classical_music_2,0.9994902326385072,0.4478838473559941
hidden_classical_music_3,5.751811799533074,0.7241512329510372
hidden_classical_music_4,7.895453644186036,1.5102233860131526
hidden_classical_music_5,5.826193168262685,0.5814581074252985
hidden_classical_music_6,7.4699919178533465,2.2339009078782754
hidden_gardening_1,7.5273343559362385,0.3690299779042384
hidden_gardening_2,6.872111929827644,2.2450086181622138
hidden_gardening_3,10.0,0.3067754121023195
hidden_gardening_4,9.482908690621912,0.30280306086152703
hidden_gardening_5,9.091588222521105,1.8674018857840233
hidden_gardening_6,8.659422406000132,0.29056825513373047
hidden_astronomy_1,8.909933815899299,2.0789493308444458
hidden_astronomy_2,7.2874998699255364,0.42170000191882656
hidden_astronomy_3,7.304396670326222,0.6057356489842693
hidden_astronomy_4,9.447301792896248,0.26728890320053844
hidden_astronomy_5,8.391569327807776,0.22747096087439644
hidden_astronomy_6,8.243461064670099,1.3263636988325842
hidden_cooking_1,1.5457493587499516,0.45842982008699357
hidden_cooking_2,8.471124809953732,0.6537480572076126
hidden_cooking_3,5.118573415756509,1.9565468490421023
hidden_cooking_4,8.634880946714302,0.33292334747870195
hidden_cooking_5,9.83551248520045,0.2778140347692952
hidden_cooking_6,9.787257373031013,1.2077775244505022
hidden_ancient_history_1,8.604092535692153,1.4615155774846136
hidden_ancient_history_2,1.868965710653124,0.4489970078558334
hidden_ancient_history_3,3.0121190097374564,1.495867526103165
hidden_ancient_history_4,7.009537853381725,0.9562015220729647
hidden_ancient_history_5,8.960960683362451,3.492336097445563
hidden_ancient_history_6,7.606742916192007,0.4674585961729862
