task_id,mu,sigma
wildchat_406,0.0,5.017496766492724
wildchat_441,5.378114812124259,0.3573189669667624
wildchat_510,-2.074153075847177,0.34737352736726596
wildchat_1291,-9.51612611220674,0.550899606701719
wildchat_1503,-2.3423399217490926,0.4045694791699089
wildchat_3124,0.09908630374087107,6.074936808135369
wildchat_3548,2.110150420579329,4.478404513049186
wildchat_4061,-0.8590482553147757,0.3698256246890283
wildchat_4155,-0.9375297391307507,2.1060999418398083
wildchat_5183,-3.80342797633471,1.8222615519511833
wildchat_5652,1.5469181854586616,0.42824790854957295
wildchat_6084,0.23650225309012304,4.034582052849419
wildchat_6142,-2.8482874718394697,3.3414398003763366
wildchat_6282,-0.7983758443025543,3.170465444897511
wildchat_7145,4.129162292098489,0.4544917075481334
wildchat_7315,1.6995409868099682,0.27089736381084983
wildchat_7464,0.8682370425996347,0.43966446707441503
wildchat_9184,1.8159161541335893,0.37559071441402103
wildchat_10152,1.929876882268734,0.5767664525427786
wildchat_11267,2.4131227128492414,1.4261119399174416
wildchat_11507,1.7516548418560123,1.1273330644993367
wildchat_12398,-0.8458195486192538,0.946532738037115
wildchat_13457,-2.205582422865141,0.5340206377030472
wildchat_13504,-1.935742483875661,2.362205315880525
wildchat_14496,-0.9231388829760755,0.39110280497553557
wildchat_14710,0.43253273301878925,1.6189611493943223
wildchat_15203,-4.622455638812312,0.3886902243795702
wildchat_15349,-2.629284812271583,2.966791285857405
wildchat_16603,3.7843943695835405,0.3017867512039098
wildchat_18347,2.132171485402477,0.385442039763122
wildchat_19444,3.3205803493913444,0.4719680724411909
wildchat_20473,0.7971691182783147,0.3329499545183969
wildchat_20624,2.297092124977288,0.7903706780966838
wildchat_21058,2.712883537846329,0.3394881324716688
wildchat_21129,1.2405570361817357,0.2857108452996162
wildchat_21251,1.5852938735316628,1.0154030466440187
wildchat_23016,2.080179261805535,0.3618799007386915
wildchat_23166,-3.406985624387529,2.016057833610991
wildchat_23391,1.3958238268140217,2.501550499108715
wildchat_24013,-1.1380633860141578,0.7231152053480503
wildchat_24515,3.1378014190291466,0.6215099241663478
wildchat_25557,0.016362438660344376,0.39754629345762516
wildchat_26191,4.227259113986435,0.33128043591949247
wildchat_26649,3.258144794230264,0.3691186926217475
wildchat_29065,3.597600864471877,0.4165809246574291
wildchat_30034,5.557321049545137,3.7595092807520243
wildchat_30309,3.374914484668889,1.6154752251257694
wildchat_31459,-2.454249795556413,3.222150352796184
wildchat_31535,0.15750991359970118,0.3509068815036779
wildchat_35064,4.188536045818423,0.7562404063428697
wildchat_35599,-4.303531129841522,0.2933851375758077
wildchat_36623,0.8850085828938057,0.3332307902598703
wildchat_37085,7.347669193083527,2.1284064672775114
wildchat_40530,0.5670263409568788,0.37616006409916236
wildchat_41648,0.9142380561534046,0.4429306533408755
wildchat_42280,-1.7152278157296492,2.881635608747421
wildchat_43435,5.250191355208391,2.0474110037304047
wildchat_46090,5.11113633799423,0.40393056954673356
wildchat_46261,6.775258417900736,1.0472607171900608
wildchat_47234,-1.8526556795883697,0.5663224268251678
wildchat_47586,2.9972768438402775,0.6388715925785375
wildchat_49266,0.02534328728656058,0.2714324829134319
wildchat_49514,-2.308818885084286,0.42579837400095427
wildchat_50006,0.4946344419114022,0.3162668468797527
wildchat_50255,4.392212980860577,2.5432909799305965
wildchat_51214,-0.4482356676366421,0.4174136026048003
wildchat_52054,-0.654701715758627,0.32111144011625664
wildchat_53005,1.5205543530848467,0.2671324741406901
wildchat_54414,-1.8630756593220943,0.318981349087845
wildchat_54544,-3.6430406962936734,0.42766197234166775
wildchat_56174,-1.3676595093057136,1.5608714576836382
wildchat_56225,3.235355253644427,0.4116198392751015
wildchat_56325,1.8649982755739327,0.6315159761054978
wildchat_56456,2.268669055010754,0.4320198394801772
wildchat_59395,3.686898130779066,0.39016272280481373
wildchat_59614,-0.09518027496072487,0.4922415069129912
wildchat_60034,-1.3449754996581529,4.232512938053612
wildchat_60192,-4.657685820266395,0.5487662644270139
wildchat_60415,5.001408120934138,0.3353387256125958
wildchat_62273,-1.9298031410528549,1.8774426854924398
wildchat_63446,-2.732261889791342,0.3904008232286534
wildchat_64137,1.9114952033127524,0.398514517019163
wildchat_64294,4.111980806325454,2.4306846757209075
wildchat_64392,0.2020854008551886,0.5352006288877127
wildchat_64507,-1.397010757946993,0.5294952795193039
wildchat_65524,0.6704339559002606,0.6926142681444606
wildchat_68428,1.573743239469551,1.9374918277532374
wildchat_69299,-1.4133451969756876,0.41326233496178894
wildchat_69308,7.109518404466809,0.4390303088693312
wildchat_69388,-2.613326432548259,2.7157893095037307
wildchat_69587,7.145478756090718,0.34098182641495206
wildchat_72001,-0.851901296300949,4.259246048609776
wildchat_72065,-2.0866015201252113,0.383294146051901
wildchat_72331,1.3986855231886839,1.0221399626116385
wildchat_74049,-2.2398018384707594,0.34230116842767594
wildchat_75214,0.04246561292094206,0.4272672601636861
wildchat_76151,-0.044684981138516836,0.5202479366221716
wildchat_76621,6.975676694931662,0.43895575005146026
wildchat_78272,3.644932924089304,0.3873740028635703
wildchat_78351,-0.17977080712615645,0.4880213482670543
wildchat_79151,8.351263002573852,0.3969647394482888
alpaca_831,1.9976067673755278,0.4057088614119004
alpaca_1055,4.371797489762509,0.3851402316717016
alpaca_1108,-0.6136617252292771,0.611971525689736
alpaca_1162,-2.4798614845356983,0.39922856714788785
alpaca_1216,-2.2645769962651605,0.30300576108984456
alpaca_1262,-1.4029204117742051,0.4147016494837085
alpaca_1368,4.0977380579682565,0.3787675146451414
alpaca_1526,3.071406379231605,0.27104571794519766
alpaca_1609,1.8047085885923524,2.24524908788619
alpaca_2018,-0.8039707974879922,0.684735507691384
alpaca_2061,1.3491163080232522,0.3759757847902132
alpaca_2158,3.9993986714382297,1.0151883538563162
alpaca_2224,-2.4406303383694268,0.480178224163803
alpaca_2486,0.22973995627093405,4.303742857572491
alpaca_2617,-1.6357575132834299,0.33822283001943826
alpaca_2723,-1.349267223127533,0.33060502070004333
alpaca_2748,4.905790174992339,0.47316030000087006
alpaca_2750,-1.6613287465750384,0.3018930216434818
alpaca_2765,-0.3702941372457551,0.36580037629949286
alpaca_3273,-1.9915381510439034,1.4209143308728538
alpaca_3613,0.7713019590104836,0.34760291557612477
alpaca_3922,5.109117167437308,3.3545659038906397
alpaca_3949,-2.569019492113953,0.419771035631087
alpaca_4090,2.348267517583671,0.44803856225013444
alpaca_4338,-2.931336295790291,0.3446131141027066
alpaca_5016,-0.8261785475310431,0.3824742255128383
alpaca_5031,-0.29258047973356094,0.32289559446492155
alpaca_5114,-3.343793225398561,0.3095013755812255
alpaca_5180,-0.25758155885893075,0.700765382134692
alpaca_5196,-2.1386809950378396,0.8300338000635186
alpaca_5411,-1.8802281899546425,2.1732341860862423
alpaca_5709,3.7220335259700956,0.301691930589504
